name	label
Education	0
B.E.	0
in	0
Technology	Degree
K.S.Rangasamy	Institute
College	Institute
	0
	0
-	0
	0
	0
Tiruchengode,	0
TAMIL	Institute
NADU,	0
IN	Institute
2016	Time
HSC	Degree
Rajavignesh	Institute
Hr	Institute
Sec	Institute
School	Institute
2012	Time
SSLC	Degree
Government	Institute
high	Institute
School	Institute
2010	Time
Education	0
B.Tech	Degree
in	0
civil	Degree
engineer	Degree
Ramaiah	Institute
university	Institute
of	0
applied	Institute
science	Institute
bangalore	Institute
	0
	0
-	0
	0
	0
Bengaluru,	0
Karnataka	Institute
August	Time
2017	Time
to	0
December	Time
2021	Time
Diploma	Degree
in	0
Civil	Degree
Engg	Degree
Prasanna	Institute
Polytechnic	Institute
Laila,	0
ujire	Institute
	0
	0
-	0
	0
	0
Bengaluru,	0
Karnataka	Institute
2014	Time
to	0
2017	Time
Department	0
of	0
pre-university	0
education	0
2011	0
to	0
2012	0
ST.George	0
pu	0
college	0
nellyadi,	0
puttur	0
taluk	0
D	0
K	0
DIST	0
Education	0
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
Kalinga	Institute
university	Institute
2013	Time
to	0
2016	Time
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
Bangalore	Institute
university	Institute
	0
	0
-	0
	0
	0
Bengaluru,	0
Karnataka	Institute
2000	Time
to	0
2003	Time
12TH	Degree
Department	Institute
of	0
pre-university	Institute
education	Institute
1998	Time
to	0
2000	Time
SSLC	0
in	0
education	Institute
Karnataka	Institute
secondary	0
1996	0
to	0
1998	Time
B'	0
TECH	0
in	0
TECH	0
in	0
Civil	Degree
Engineering	Degree
Education	0
B.Tech	Degree
CIVIL	Institute
CBSE	Degree
DAV	Institute
School	Institute
CBSE	Degree
in	0
Concrete	Degree
Mix	Degree
Design	Degree
by	0
Ambuja	Degree
Cement	Degree
DAV	Institute
School	Institute
	0
	0
-	0
	0
	0
Ambala,	0
Haryana	Institute
Management	0
Indian	0
Institute	0
of	0
Technology	0
	0
	0
-	0
	0
	0
Chennai,	0
Tamil	0
Nadu	0
Education	0
BE	Degree
in	0
Civil	Degree
RGPV	Institute
BHOPAL	Institute
	0
	0
-	0
	0
	0
Bhopal,	0
Madhya	Institute
Pradesh	Institute
2012	Time
Education	0
B.A.	0
Jai	Institute
Narayan	Institute
Vyash	Institute
University	Institute
of	0
Jodhpur	Institute
	0
	0
-	0
	0
	0
Jodhpur,	0
Rajasthan	Institute
2006	Time
to	0
2009	Time
Education	0
Bachelor	Degree
in	0
civil	Degree
engineering	Degree
MD	Institute
University	Institute
CBSE	Degree
Pragati	Institute
International	Institute
School	Institute
	0
	0
-	0
	0
	0
Ghaziabad,	0
Uttar	Institute
Pradesh	Institute
Education	0
BE	Degree
in	0
Civil	Degree
&	Degree
Structural)	0
engineering	Degree
(PT)	0
Annamlai	Institute
University	Institute
2012	Time
Education	0
B.	0
Tech	Degree
in	0
Civil	Degree
Engineering	Degree
in	0
Civil	Degree
Engineering	Degree
DCRUST	Institute
UNIVERSITY	Institute
MURTHAL	Institute
HARYANA	Institute
2012	Time
to	0
2016	Time
Education	0
B.Tch	Degree
in	0
Civil	Degree
Engineering	Degree
Mahathma	Institute
Gandhi	Institute
Univerasity	Institute
	0
	0
-	0
	0
	0
Ernakulam,	0
Kerala	Institute
July	Time
2010	Time
to	0
May	Time
2014	Time
Education	0
Diploma	Degree
in	0
"""Architectural"	0
"Assistantship"""	0
Govt.	0
Polytechnic	Institute
Hardoi	Institute
	0
	0
-	0
	0
	0
Hardoi,	0
Uttar	Institute
Pradesh	Institute
2014	Time
B.Sc.	0
CSJM	Institute
University	Institute
	0
	0
-	0
	0
	0
Kanpur,	0
Uttar	Institute
Pradesh	Institute
2007	Time
E4U	0
Institute	0
Delhi	0
	0
	0
-	0
	0
	0
Allahabad,	0
Uttar	Institute
Pradesh	Institute
2001	0
Revit	0
Architecture	0
"""CADD"	0
"CENTRE"""	0
Kanpur	Institute
	0
	0
-	0
	0
	0
Kanpur,	0
Uttar	Institute
Pradesh	Institute
O'	0
Level	0
Diploma	Degree
in	0
Computer	0
Application	0
CSJM	Institute
University	Institute
	0
	0
-	0
	0
	0
Kanpur,	0
Uttar	Institute
Pradesh	Institute
Education	0
10+2	0
	0
	0
-	0
	0
	0
R	0
K	0
Arya	0
College,Nawanshahr,	0
Punjab	0
April	0
1990	0
to	0
March	0
1992	0
Education	0
B.Tech	Degree
in	0
Civil	Degree
High	Institute
School	Institute
	0
	0
-	0
	0
	0
Ghatkesar,	0
Andhra	Institute
Pradesh	Institute
Education	0
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
Singhania	Institute
University	Institute
	0
	0
-	0
	0
	0
Jhunjhunun,	0
Rajasthan	Institute
2011	Time
Centre	0
Hisar	0
	0
	0
-	0
	0
	0
Hisar,	0
Haryana	0
2009	0
Education	Degree
Board	Institute
of	0
Secondary	Institute
2008	Time
DTR	0
College	0
DTR	0
2008	Time
Education	0
Senior	0
Secondary	0
2013	0
Education	0
Diploma	Degree
in	0
Distinction	Degree
Civil	Institute
Engineering	Institute
under	0
MSBTE	Institute
College	Institute
of	0
GPDL	Institute
June	Time
2015	Time
B.com	Degree
Mumbai	Institute
University	Institute
	0
	0
-	0
	0
	0
Mumbai,	0
Maharashtra	Institute
March	Time
2005	Time
H.S.C	Degree
Maharashtra	Institute
State	Institute
Board	Institute
February	Time
2001	Time
S.S.C	0
Maharashtra	Institute
State	Institute
Board	Institute
March	Time
1999	0
Education	0
B.Tech	Degree
in	0
Civil	Degree
engineer	Degree
Neelkanth	Institute
Institute	Institute
of	0
technology	Institute
meerut	Institute
	0
	0
-	0
	0
	0
Meerut,	0
Uttar	Institute
Pradesh	Institute
August	Time
2012	Time
to	0
June	Time
2016	Time
Education	0
B.Tech	Degree
in	0
Civil	Degree
Engineering	Degree
IMPS	Institute
College	Institute
Of	Institute
Engineering	Degree
	0
	0
-	0
	0
	0
Kalam,	0
Maharashtra	Institute
July	Time
1994	Time
to	0
2010	Time
Education	0
B.Tech.	0
in	0
CIVIL	Degree
ENGINEERING	Degree
Maharishi	Institute
Dayanand	Institute
University	Institute
	0
	0
-	0
	0
	0
Rohtak,	0
Haryana	Institute
2016	Time
Education	0
BE	Degree
Arunachala	Institute
college	Institute
of	0
engineering	Institute
	0
for	0
women	Institute
Master	Degree
diploma	Degree
in	0
building	Degree
design	Degree
Cadd	Institute
centre	Institute
Education	0
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
Hooghly	Institute
Institute	Institute
of	0
Technology	Institute
	0
	0
-	0
	0
	0
Hugli,	0
West	Institute
Bengal	Institute
2011	Time
Education	Degree
West	Institute
Bengal	Institute
Board	Institute
of	0
Higher	Institute
Secondary	Institute
2005	Time
Education	0
Diploma	Degree
in	0
civil	Degree
Vikash	Institute
Poly-Tech	Institute
	0
	0
-	0
	0
	0
Bargarh,	0
Orissa	Institute
2017	Time
Education	0
B-Tech	Degree
in	0
Civil	Degree
passed	Degree
Bhagwant	Institute
University	Institute
Ajmer	Institute
	0
	0
-	0
	0
	0
Ajmer,	0
Rajasthan	Institute
2016	Time
Education	0
Diploma	Degree
in	0
Civil	Degree
Engineering	Degree
SETE	Institute
&	Institute
VT,	0
Odisha	Institute
2005	Time
Education	0
DRAUGHTSMAN	Degree
CIVIL	Degree
in	0
CIVIL	Degree
ENGINEERING	Degree
SREE	Institute
VIDHYADHIRAJA	Institute
ITI	Institute
	0
	0
-	0
	0
	0
Palghat,	0
Kerala	Institute
2011	Time
to	0
2013	Time
Education	0
B.	0
Tech	Degree
in	0
Civil	Degree
Engineering	Degree
Integral	Institute
University	Institute
	0
	0
-	0
	0
	0
Lucknow,	0
Uttar	Institute
Pradesh	Institute
2014	Time
National	0
Convent	0
Public	0
School	0
	0
	0
-	0
	0
	0
Aligarh,	0
Uttar	Institute
Pradesh	Institute
2008	0
Doon	0
Valley	0
High	0
School	0
	0
	0
-	0
	0
	0
Lucknow,	0
Uttar	Institute
Pradesh	Institute
2006	0
Education	0
Bachelors	Degree
in	0
Hospitality	Degree
Management	Degree
in	0
Hospitality	Degree
Science	Degree
IHMCTAN	Institute
Kolkata	Institute
	0
	0
-	0
	0
	0
Kolkata,	0
West	Institute
Bengal	Institute
C.B.S.E	Degree
in	0
Board	Degree
K.M.S.S.	0
School	Institute
	0
	0
-	0
	0
	0
Kolkata,	0
West	Institute
Bengal	Institute
Education	0
MBA	Degree
in	0
Financial	Degree
Management	Degree
Annamalai	Institute
University	Institute
	0
	0
-	0
	0
	0
Chennai,	0
Tamil	Institute
Nadu	Institute
Bachelor	Degree
in	0
Tourism	Degree
Studies	Degree
IGNOU	Institute
	0
	0
-	0
	0
	0
New	Institute
Delhi,	0
Delhi	Institute
Education	0
RUDSET	0
Institute	0
Ujire	0
2012	0
Education	Degree
Pre-	Institute
University	Institute
2011	Time
Education	Degree
Govt	Institute
High	Institute
School	Institute
Kokkada	Institute
2009	Time
University	Institute
/	0
Board	0
Education	0
MBA	Degree
in	0
GENERAL	Degree
SRI	Institute
RAMANUJA	Institute
UNIVERSITY	Institute
	0
	0
-	0
	0
	0
Chennai,	0
Tamil	Institute
Nadu	Institute
July	Time
2018	Time
to	0
August	Time
2020	Time
B.Sc.	0
in	0
Hotel	Degree
And	Degree
Catering	Degree
Management	Degree
Vels	Institute
University	Institute
2017	Time
Diploma	Degree
in	0
Food	Degree
Production	Degree
Vels	Institute
University	Institute
2014	Time
12TH	0
Marai	0
Malai	0
Adigalar	0
Govt.	0
Hr.	0
Sec.	0
School.	0
2013	0
Education	0
3	Degree
years	Degree
dgree	Degree
in	0
hotel	Degree
management	Degree
in	0
f&b	0
service	Degree
nips	Institute
school	Institute
of	0
hotel	Degree
management	Degree
	0
	0
-	0
	0
	0
Bukit	Institute
Batok	Institute
June	Time
2015	Time
to	0
May	Time
2018	Time
Education	0
M.sc	Degree
in	0
Hotel	Degree
management	Degree
University	Institute
	0
	0
-	0
	0
	0
Jalandhar,	0
Punjab	Institute
August	Time
2016	Time
to	0
May	Time
2018	Time
Education	0
BHM	Degree
UEI	Institute
Global	Institute
Education	0
Hotel	Degree
Management	Degree
Global	Institute
institute	Institute
of	0
hotel	Institute
management	Institute
2017	Time
HSC	Degree
N.Krishnasamy	Institute
Mudalaiyar	Institute
Higher	Institute
Secondary	Institute
School	Institute
	0
	0
-	0
	0
	0
Vellore,	0
Tamil	Institute
Nadu	Institute
2016	Time
SSLC	Degree
Government	Institute
High	Institute
School	Institute
2014	Time
Education	0
B.sc	Degree
in	0
hotel	Degree
management	Degree
in	0
Board	Degree
of	0
Sec.	0
Education	Degree
RAJASTHAN	Degree
Trident	Institute
Institute	Institute
of	0
Hotel	Institute
Management	Institute
	0
	0
-	0
	0
	0
Nagaur,	0
Rajasthan	Institute
August	Time
2017	Time
to	0
August	Time
2020	Time
Education	0
Bachelor	Degree
in	0
Commerce	Degree
in	0
Commerce	Degree
Calcutta	Institute
University	Institute
	0
	0
-	0
	0
	0
Kolkata,	0
West	Institute
Bengal	Institute
1993	Time
Education	0
B.A.	0
in	0
Hospitality	Degree
Management	Degree
Institute	Institute
Of	Institute
Advanced	Institute
Management	Degree
[2015	0
-	0
2018]	0
April	Time
2013	Time
to	0
May	Time
2013	Time
Baruipur	0
High	0
School	0
	0
	0
-	0
	0
	0
Baruipur,	0
West	0
Bengal	0
Education	0
Bachelor	Degree
of	0
Science	Degree
in	0
Computer	Degree
science	Degree
College	Institute
of	0
Arts	Institute
	0
	0
-	0
	0
	0
Mumbai,	0
Maharashtra	Institute
1999	Time
Education	0
class	Degree
X	Degree
St.	Institute
Helen's	0
School	Institute
	0
	0
-	0
	0
	0
Kolkata,	0
West	Institute
Bengal	Institute
Education	0
B.sc	Degree
in	0
H	Degree
and	0
HA	Degree
Ihm	Institute
	0
	0
-	0
	0
	0
India	Institute
CBSE	Degree
in	0
Photography	Degree
A.G	Institute
High	Institute
school	Institute
Hsc	Degree
in	0
Commerce	Degree
Valia	Institute
college	Institute
Education	0
B.Sc	Degree
in	0
Basic	Degree
knowledge	Degree
of	0
computer	Degree
applications	Degree
Heritage	Institute
Institute	Institute
of	0
Hotel	Institute
and	0
Tourism	Institute
	0
	0
-	0
	0
	0
Shimla,	0
Himachal	Institute
Pradesh	Institute
Education	0
D.A.	0
in	0
Computer	Degree
Applications	Degree
College	Institute
Amritsar	Institute
	0
	0
-	0
	0
	0
Amritsar,	0
Punjab	Institute
November	Time
2008	Time
Education	0
ICE	0
COLLEGE	Institute
OF	0
HOTEL	0
MANAGEMENT	0
HSC	Degree
VIDYA	Institute
VIKAS	Institute
UNIVERSAL	Institute
COLLEGE	Institute
SSC	Degree
INFANT	Institute
JESUS	Institute
SCHOOL	Institute
Education	0
BHMCT.	0
cource	Degree
in	0
hospitality	Degree
and	0
official.	0
work	Degree
government.	0
	0
hotel	Institute
management.	0
almora	Institute
	0
	0
-	0
	0
	0
Haldwani,	0
Uttarakhand	Institute
August	Time
2016	Time
to	0
August	Time
2016	Time
